x,activation
-1.859429714857428451e+01,-5.999999999999999778e-01
-1.856428214107053520e+01,-5.999999999999999778e-01
-1.853426713356678235e+01,-5.999999999999999778e-01
-1.850425212606302949e+01,-5.999999999999999778e-01
-1.847423711855928019e+01,-5.999999999999999778e-01
-1.844422211105552734e+01,-5.999999999999999778e-01
-1.841420710355177448e+01,-5.999999999999999778e-01
-1.838419209604802518e+01,-5.999999999999999778e-01
-1.835417708854427232e+01,-5.999999999999999778e-01
-1.832416208104051947e+01,-5.999999999999999778e-01
-1.829414707353677016e+01,-5.999999999999999778e-01
-1.826413206603301376e+01,-5.999999999999999778e-01
-1.823411705852926445e+01,-5.999999999999999778e-01
-1.820410205102551160e+01,-5.999999999999999778e-01
-1.817408704352175874e+01,-5.999999999999999778e-01
-1.814407203601800944e+01,-5.999999999999999778e-01
-1.811405702851425659e+01,-5.999999999999999778e-01
-1.808404202101050373e+01,-5.999999999999999778e-01
-1.805402701350675443e+01,-5.999999999999999778e-01
-1.802401200600300157e+01,-5.999999999999999778e-01
-1.799399699849924872e+01,-5.985705352676335966e-01
-1.796398199099549942e+01,-5.915169191738730570e-01
-1.793396698349174301e+01,-5.846790061697507701e-01
-1.790395197598799371e+01,-5.780567962552703998e-01
-1.787393696848424440e+01,-5.716502894304299476e-01
-1.784392196098048800e+01,-5.654647859644102992e-01
-1.781390695347673869e+01,-5.594952833559636574e-01
-1.778389194597298584e+01,-5.537414838371564896e-01
-1.775387693846923298e+01,-5.482033874079893510e-01
-1.772386193096548368e+01,-5.428809940684627966e-01
-1.769384692346173082e+01,-5.377743038185758273e-01
-1.766383191595797797e+01,-5.328833166583288872e-01
-1.763381690845422867e+01,-5.282080325877225313e-01
-1.760380190095047226e+01,-5.237484516067552054e-01
-1.757378689344672296e+01,-5.195045737154289078e-01
-1.754377188594297365e+01,-5.154781557445390350e-01
-1.751375687843921725e+01,-5.116712820696057706e-01
-1.748374187093546794e+01,-5.080801114843135347e-01
-1.745372686343171509e+01,-5.047046439886607727e-01
-1.742371185592796223e+01,-5.015448795826481510e-01
-1.739369684842421293e+01,-4.986008182662759469e-01
-1.736368184092046008e+01,-4.958724600395434390e-01
-1.733366683341670722e+01,-4.933598049024510157e-01
-1.730365182591295792e+01,-4.910628528549989547e-01
-1.727363681840920506e+01,-4.889816038971866452e-01
-1.724362181090545221e+01,-4.871160580290143649e-01
-1.721360680340170290e+01,-4.854700266800067165e-01
-1.718359179589794650e+01,-4.840414850282282466e-01
-1.715357678839419719e+01,-4.828286464660900834e-01
-1.712356178089044434e+01,-4.818315109935919494e-01
-1.709354677338669148e+01,-4.810500786107338445e-01
-1.706353176588294218e+01,-4.804843493175158797e-01
-1.703351675837918933e+01,-4.801343231139378886e-01
-1.700350175087543647e+01,-4.799999999999999822e-01
-1.697348674337168717e+01,-4.799999999999999822e-01
-1.694347173586793431e+01,-4.799999999999999822e-01
-1.691345672836418146e+01,-4.799999999999999822e-01
-1.688344172086043216e+01,-4.799999999999999822e-01
-1.685342671335667575e+01,-4.799999999999999822e-01
-1.682341170585292645e+01,-4.799999999999999822e-01
-1.679339669834917359e+01,-4.799999999999999822e-01
-1.676338169084542074e+01,-4.799999999999999822e-01
-1.673336668334167143e+01,-4.799999999999999822e-01
